year,market_cap
1990,0.53
1991,0.69
1992,0.67
1993,0.68
1994,0.71
1995,1.04
1996,1.25
1997,1.91
1998,2.91
1999,4.11
2000,3.75
2001,3.52
2002,2.73
2003,3.28
2004,3.4
2005,3.32
2006,3.81
2007,4.03
2008,2.76
2009,3.32
2010,3.59
2011,3.73
2012,4.1
2013,4.9
2014,5.35
2015,5.49
2016,6.02
2017,7.62
2018,7.39
2019,9.77
2020,13.15
2021,17.13
2022,12.23
2023,17.99
2024,25.51
