year,market_cap
2000,11.71
2001,10.46
2002,8.11
2003,10.29
2004,11.29
2005,11.25
2006,12.73
2007,12.87
2008,7.85
2009,9.93
2010,11.43
2011,11.39
2012,12.74
2013,16.49
2014,18.25
2015,17.9
2016,19.27
2017,22.82
2018,21.03
2019,26.76
2020,31.66
2021,40.36
2022,32.13
2023,40.04
2024,49.81
