year,market_cap
2010,0.000001481
2011,0.00003267
2012,0.0001423
2013,0.009268
2014,0.004356
2015,0.006340
2016,0.01544
2017,0.271
2018,0.06672
2019,0.1328
2020,0.4913
2021,0.8923
2022,0.3241
2023,0.8346
2024,1.834
