year,market_cap
1995,13.92
1996,15.87
1997,18.69
1998,21.99
1999,23.92
2000,22.92
2001,22.28
2002,15.78
2003,17.34
2004,16.28
2005,15.00
2006,15.18
2007,14.32
2008,10.55
2009,14.29
2010,12.61
2011,10.88
2012,12.22
2013,15.22
2014,16.41
2015,16.69
2016,16.96
2017,18.59
2018,15.36
2019,18.23
2020,22.35
2021,22.11
2022,16.93
2023,21.60
2024,26.75
