year,market_cap
2004,1.21
2005,1.43
2006,1.60
2007,1.78
2008,1.92
2009,1.85
2010,1.89
2011,2.03
2012,2.22
2013,2.40
2014,2.58
2015,2.62
2016,2.60
2017,2.64
2018,2.69
2019,2.73
2020,2.69
2021,2.85
2022,3.16
2023,3.36
